1417:03-19 12:00:20.252 20080 20080 I A11yFramework: Service destroying
40616:03-19 12:00:45.320 20080 20080 D A11yFramework: Not a target page, skipping
40627:03-19 12:00:45.406 20080 20080 D A11yFramework: Not a target page, skipping
40661:03-19 12:00:45.516 20080 20080 D A11yFramework: Not a target page, skipping
40673:03-19 12:00:45.615 20080 20080 D A11yFramework: Not a target page, skipping
40707:03-19 12:00:45.704 20080 20080 D A11yFramework: Not a target page, skipping
40723:03-19 12:00:45.805 20080 20080 D A11yFramework: Not a target page, skipping
40802:03-19 12:00:45.891 20080 20080 D A11yFramework: Not a target page, skipping
40831:03-19 12:00:45.988 20080 20080 D A11yFramework: Not a target page, skipping
40862:03-19 12:00:46.104 20080 20080 D A11yFramework: Not a target page, skipping
40902:03-19 12:00:46.202 20080 20080 D A11yFramework: Not a target page, skipping
40933:03-19 12:00:46.295 20080 20080 D A11yFramework: Not a target page, skipping
40953:03-19 12:00:46.383 20080 20080 D A11yFramework: Not a target page, skipping
41007:03-19 12:00:46.473 20080 20080 D A11yFramework: Not a target page, skipping
41048:03-19 12:00:46.560 20080 20080 D A11yFramework: Not a target page, skipping
41061:03-19 12:00:46.654 20080 20080 D A11yFramework: Not a target page, skipping
41095:03-19 12:00:46.750 20080 20080 D A11yFramework: Not a target page, skipping
41121:03-19 12:00:46.878 20080 20080 D A11yFramework: Not a target page, skipping
41147:03-19 12:00:46.975 20080 20080 D A11yFramework: Not a target page, skipping
41156:03-19 12:00:47.060 20080 20080 D A11yFramework: Not a target page, skipping
41201:03-19 12:00:47.173 20080 20080 D A11yFramework: Not a target page, skipping
41217:03-19 12:00:47.257 20080 20080 D A11yFramework: Not a target page, skipping
41398:03-19 12:00:48.092 20080 20080 D A11yFramework: Not a target page, skipping
41420:03-19 12:00:48.184 20080 20080 D A11yFramework: Not a target page, skipping
41455:03-19 12:00:48.284 20080 20080 D A11yFramework: Not a target page, skipping
41484:03-19 12:00:48.383 20080 20080 D A11yFramework: Not a target page, skipping
41694:03-19 12:00:49.244 20080 20080 D A11yFramework: Not a target page, skipping
41733:03-19 12:00:49.323 20080 20080 D A11yFramework: Not a target page, skipping
41783:03-19 12:00:49.566 20080 20080 D A11yFramework: Not a target page, skipping
41815:03-19 12:00:49.650 20080 20080 D A11yFramework: Not a target page, skipping
